distance,stage,point_est,ci_lower,ci_upper
0-1,preprod,NA,NA,NA
1-2,preprod,0.08699967563174602,-0.0011970759948182058,0.17519642725831025
2-3,preprod,0.01907944353687536,0.00466601601083678,0.033492871062913945
3-4,preprod,-0.03741527240178956,-0.04636634653633294,-0.028464198267246183
4-5,preprod,0.010952662629578976,0.0017912812274308004,0.020114044031727153
0-1,prod,-0.014841058264218047,-0.023643519206332078,-0.006038597322104015
1-2,prod,-0.0066056621546224095,-0.007860448370376173,-0.005350875938868647
2-3,prod,-1.086409005675479e-4,-8.913786932404923e-4,6.740968921053964e-4
3-4,prod,-0.0025094946028023863,-0.004035829883339554,-9.831593222652188e-4
4-5,prod,0.006256140895309098,0.0037705190428079815,0.008741762747810215
