distance,stage,point_est,ci_lower,ci_upper
0-1,preprod,2.0716498718521374,-0.662137837974901,4.8054375816791755
1-2,preprod,2.9580566575145455,1.0306599226485174,4.885453392380573
2-3,preprod,0.6149311438112522,0.2648246373570529,0.9650376502654516
3-4,preprod,-0.556166158631664,-0.8107506168549292,-0.3015817004083987
4-5,preprod,-0.5104373380487381,-0.72422223278486,-0.2966524433126163
0-1,prod,0.5664499848370456,0.3181955769898085,0.8147043926842826
1-2,prod,0.04778118375384223,-9.917676107501702e-4,0.09655413511843464
2-3,prod,0.004297327734855459,-0.02110593668789296,0.029700592157603876
3-4,prod,-0.021246996923247045,-0.06974757227097667,0.027253578424482575
4-5,prod,0.08998427726690018,0.017313147894626596,0.16265540663917377
