distance,stage,point_est,ci_lower,ci_upper
0-1,preprod,-8.242592219720251e-5,-3.056590220104041e-4,1.4080717761599907e-4
1-2,preprod,8.195049186364266e-6,-8.681365121448167e-5,1.032037495872102e-4
2-3,preprod,1.728080844368005e-4,5.945143036616e-5,2.86164738507441e-4
3-4,preprod,8.714016714460098e-5,-4.8074440501743535e-6,1.7908777833937632e-4
4-5,preprod,-4.949983667907116e-5,-1.6371001548013786e-4,6.471034212199555e-5
0-1,prod,-8.954281437927673e-8,-1.2732563786976787e-4,1.2714655224100934e-4
1-2,prod,9.216691323812595e-5,6.429685186838884e-5,1.2003697460786306e-4
2-3,prod,4.134245321928952e-6,-1.3115476799095674e-5,2.1383967442953576e-5
3-4,prod,6.347225521814107e-6,-1.4193105917149886e-5,2.6887556960778098e-5
4-5,prod,-4.4963172478985145e-5,-7.327719601250515e-5,-1.6649148945465136e-5
