distance,stage,point_est,ci_lower,ci_upper
0-1,preprod,NA,NA,NA
1-2,preprod,2.6149051062858786,1.0393860267533588,4.190424185818398
2-3,preprod,0.8959925388481403,0.4498640214487201,1.3421210562475605
3-4,preprod,0.1873701940488194,-0.23443499924358382,0.6091753873412227
4-5,preprod,0.4895421190141102,0.0024300651309828725,0.9766541728972375
0-1,prod,1.9570920806455472,1.0000171474184898,2.9141670138726044
1-2,prod,-0.3127779058984073,-0.46775378727746814,-0.1578020245193465
2-3,prod,-0.004747229111368113,-0.027587197566544146,0.018092739343807916
3-4,prod,-0.035058905056862155,-0.06757144486398704,-0.0025463652497372674
4-5,prod,-0.12431185357015283,-0.16566400554618316,-0.0829597015941225
