distance,direction,point_est,ci_lower,ci_upper
0-1,Upwind,NA,NA,NA
1-2,Upwind,0.08739970174780164,-4.4612427300502744e-4,0.1752455277686083
2-3,Upwind,0.017987782125363058,0.003890612893182009,0.032084951357544106
3-4,Upwind,-0.033300817242906455,-0.04178734733006136,-0.024814287155751548
4-5,Upwind,8.78082892861845e-4,-0.008126780429810875,0.009882946215534566
5-6,Upwind,0.01545346554996994,0.011327938571966978,0.019578992527972905
6-7,Upwind,0.017709214627940555,0.010507018641124206,0.024911410614756904
7-8,Upwind,-0.007793114578861058,-0.013886565978493871,-0.0016996631792282457
8-9,Upwind,NA,NA,NA
9-10,Upwind,-0.005673027108583776,-0.012952246369399987,0.0016061921522324352
0-1,Downwind,NA,NA,NA
1-2,Downwind,0.039163053108153226,-0.022748919988511945,0.1010750262048184
2-3,Downwind,0.002809325048035294,-0.01170011355059651,0.017318763646667096
3-4,Downwind,-0.017963291902649118,-0.029671891835914725,-0.006254691969383511
4-5,Downwind,0.030404884331445177,0.013569567251070221,0.04724020141182013
5-6,Downwind,-0.014992986797567113,-0.022912373123028885,-0.007073600472105342
6-7,Downwind,0.012345109043657399,3.55896459803863e-5,0.02465462844133441
7-8,Downwind,0.009801513454731589,0.0018752601921578332,0.017727766717305346
8-9,Downwind,-0.001221174121609345,-0.010951902224734647,0.008509553981515958
9-10,Downwind,-0.027579647245642634,-0.033690704247199936,-0.02146859024408533
0-1,Lateral,NA,NA,NA
1-2,Lateral,-0.0038768235370131394,-0.03324726419864969,0.025493617124623412
2-3,Lateral,0.0027123750948456478,-0.007904426443404297,0.013329176633095593
3-4,Lateral,-7.621375542659522e-4,-0.008185278911119451,0.006661003802587547
4-5,Lateral,0.034050687221130214,0.02641306963194993,0.0416883048103105
5-6,Lateral,0.0132921824848884,0.007753383796793992,0.01883098117298281
6-7,Lateral,-0.00652914910996155,-0.01463017701073973,0.0015718787908166297
7-8,Lateral,-0.0016370492573049547,-0.0084884768601856,0.005214378345575691
8-9,Lateral,-0.0073288029285724435,-0.014212237762902008,-4.4536809424287893e-4
9-10,Lateral,-0.0058241927466764435,-0.011419837286683351,-2.2854820666953594e-4
