distance,direction,point_est,ci_lower,ci_upper
0-1,Upwind,-0.09503038111693758,-0.31665585460398227,0.12659509237010713
1-2,Upwind,-0.03457928514465511,-0.12707732241972813,0.0579187521304179
2-3,Upwind,0.3094046366629582,0.19965702085133508,0.4191522524745813
3-4,Upwind,0.14149847004200602,0.05205129748183114,0.23094564260218092
4-5,Upwind,-0.03632795024811483,-0.14643271582573322,0.07377681532950356
5-6,Upwind,-0.06300793088256455,-0.13752517211168336,0.011509310346554252
6-7,Upwind,0.023126514831911502,-0.06033326438914337,0.10658629405296637
7-8,Upwind,0.16225982896577576,0.04222556009401278,0.2822940978375387
8-9,Upwind,0.3332667931010062,0.16340043719097463,0.5031331490110378
9-10,Upwind,-0.466925523079269,-0.6290925229952471,-0.30475852316329094
0-1,Downwind,0.292128106478891,-0.1346405697089752,0.7188967826667572
1-2,Downwind,-0.05951390573006615,-0.2023506974911763,0.08332288603104399
2-3,Downwind,-0.05454763516196025,-0.1663291467422927,0.0572338764183722
3-4,Downwind,-0.40708952146970745,-0.48414892284198563,-0.33003012009742927
4-5,Downwind,-0.18130073167384853,-0.256630799487064,-0.105970663860633
5-6,Downwind,0.0580510362684187,-0.013284604835833415,0.12938667737267082
6-7,Downwind,-0.08022575886361037,-0.22437166948292026,0.06392015175569953
7-8,Downwind,NA,NA,NA
8-9,Downwind,0.024088279951329505,-0.09314624827834052,0.14132280818099952
9-10,Downwind,-0.2954500402268651,-0.4742944854233086,-0.11660559503042162
0-1,Lateral,0.07552180716832924,-0.11267916750388746,0.26372278184054593
1-2,Lateral,-0.07654325562627527,-0.14727150374824077,-0.005815007504309758
2-3,Lateral,0.02254265079307662,-0.05344633675098115,0.09853163833713438
3-4,Lateral,-0.05068257577907844,-0.12145940417822221,0.020094252620065332
4-5,Lateral,-0.04948435976101054,-0.12897744727754845,0.030008727755527376
5-6,Lateral,0.1468638841596753,0.08244557279737447,0.21128219552197613
6-7,Lateral,-0.02411638879296918,-0.08584212603533965,0.037609348449401295
7-8,Lateral,-0.005178064865718366,-0.10607228288911731,0.09571615315768058
8-9,Lateral,0.0015020694482051076,-0.13011259688838941,0.13311673578479963
9-10,Lateral,-0.028499386263104026,-0.11854526581080008,0.061546493284592024
