distance,direction,point_est,ci_lower,ci_upper
0-1,Upwind,NA,NA,NA
1-2,Upwind,2.3477307672338403,0.8094210480288964,3.8860404864387843
2-3,Upwind,0.9672829749449007,0.5230982439771755,1.4114677059126257
3-4,Upwind,-0.46364576725373075,-0.8476315575880952,-0.07965997691936633
4-5,Upwind,0.22148266427968202,-0.24675085331636995,0.689716181875734
5-6,Upwind,0.20727174259499317,-0.014419651519028437,0.42896313670901476
6-7,Upwind,-0.298514955599107,-0.48928374365359234,-0.10774616754462168
7-8,Upwind,-0.007753147341948269,-0.1433367703625428,0.12783047567864628
8-9,Upwind,NA,NA,NA
9-10,Upwind,0.20983878627856076,0.07814514171190409,0.34153243084521745
0-1,Downwind,NA,NA,NA
1-2,Downwind,-0.3637199745781793,-1.7711573611895326,1.0437174120331738
2-3,Downwind,-0.39073880569769376,-0.7686807896174683,-0.012796821777919132
3-4,Downwind,0.17825552086421098,-0.17674358080034486,0.5332546225287669
4-5,Downwind,-0.14651091874075853,-0.5977916520689704,0.30476981458745345
5-6,Downwind,0.08811269813969755,-0.1191710653531983,0.29539646163259337
6-7,Downwind,-0.009815978332754365,-0.2179371462449078,0.19830518957939908
7-8,Downwind,-0.008968118424506588,-0.20237410650897186,0.18443786965995868
8-9,Downwind,-0.05490714263990814,-0.2650618554788616,0.15524757019904528
9-10,Downwind,-0.21581647991542083,-0.3380845343966637,-0.09354842543417795
0-1,Lateral,NA,NA,NA
1-2,Lateral,0.21160479365075735,-0.23675236797385302,0.6599619552753677
2-3,Lateral,0.6545687321523763,0.2796871148639337,1.029450349440819
3-4,Lateral,-0.17400227679194796,-0.29463582407541117,-0.05336872950848476
4-5,Lateral,0.004664340934170978,-0.11478708704291019,0.12411576891125214
5-6,Lateral,0.29679923726646257,0.20130781285309468,0.39229066167983045
6-7,Lateral,-0.19848029202942385,-0.289824725831109,-0.1071358582277387
7-8,Lateral,-0.020264912745839875,-0.17730404135586886,0.13677421586418909
8-9,Lateral,0.06320187140686365,-0.09842789122398893,0.22483163403771622
9-10,Lateral,0.2110684090731745,0.13252887472451438,0.2896079434218346
