distance,direction,point_est,ci_lower,ci_upper
0-1,Upwind,NA,NA,NA
1-2,Upwind,-1.6504485355164593,-3.82918240542849,0.5282853343955718
2-3,Upwind,-1.1316214662487574,-3.560791114035757,1.2975481815382421
3-4,Upwind,-0.16071266508972915,-0.4772278491269895,0.15580251894753122
4-5,Upwind,-0.28602890118520174,-0.6973812981259118,0.12532349575550827
5-6,Upwind,-0.177781719252056,-0.4865487758333505,0.1309853373292385
6-7,Upwind,-0.2730867711941804,-0.4459811124095646,-0.10019242997879621
7-8,Upwind,-0.03451165597554249,-0.15461940834716076,0.0855960963960758
8-9,Upwind,0.23957874159539894,-0.01368007291160217,0.49283755610240004
9-10,Upwind,-0.21907513941560322,-0.6535511102296604,0.21540083139845392
0-1,Downwind,NA,NA,NA
1-2,Downwind,0.7096061999385287,-0.7099225567869137,2.1291349566639712
2-3,Downwind,-0.2588669384772593,-0.6295121331212821,0.11177825616676351
3-4,Downwind,-0.17759344181715694,-0.37641088506958686,0.021224001435273004
4-5,Downwind,0.10825656380835413,-0.10138937371957557,0.31790250133628384
5-6,Downwind,0.21459021245215873,0.04945465708954505,0.3797257678147724
6-7,Downwind,-0.14925305738895064,-0.3140967076707267,0.015590592892825439
7-8,Downwind,-0.025868076384943234,-0.1601241571079709,0.10838800433808443
8-9,Downwind,-0.06786158409354191,-0.23118315892440294,0.09545999073731913
9-10,Downwind,-0.26574140545603786,-0.3868851968404602,-0.1445976140716155
0-1,Lateral,NA,NA,NA
1-2,Lateral,0.2119655921985409,-0.23349985359716058,0.6574310379942423
2-3,Lateral,0.6447793694251819,0.270146410449648,1.0194123284007157
3-4,Lateral,-0.12670384858222256,-0.24147275200571566,-0.011934945158729449
4-5,Lateral,0.04293507365497937,-0.07497578508108628,0.160845932391045
5-6,Lateral,0.2667928035165595,0.17325715068313602,0.36032845634998295
6-7,Lateral,-0.10707802561045586,-0.19864101362613393,-0.015515037594777792
7-8,Lateral,-0.037888257665023156,-0.11651800236619972,0.040741487036153406
8-9,Lateral,0.057285239934310846,-0.05178444294178778,0.16635492281040948
9-10,Lateral,0.19352652448821972,0.11562668196168485,0.2714263670147546
