distance,direction,point_est,ci_lower,ci_upper
0-1,Upwind,NA,NA,NA
1-2,Upwind,2.273809465836723,1.006310206737964,3.541308724935482
2-3,Upwind,0.826579356725563,0.4447447126875385,1.2084140007635875
3-4,Upwind,-0.5017821499367919,-0.8242691481814962,-0.17929515169208765
4-5,Upwind,0.20163953258925466,-0.18697946746409544,0.5902585326426047
5-6,Upwind,0.2684499058376934,0.08266426620996739,0.45423554546541944
6-7,Upwind,-0.33389414748340535,-0.4966789296155336,-0.1711093653512771
7-8,Upwind,-0.0954551287517479,-0.22872454408641146,0.03781428658291568
8-9,Upwind,0.14633332420822043,-0.03100685285655766,0.32367350127299854
9-10,Upwind,0.11270909791900796,3.3137046140861715e-4,0.2250868253766073
0-1,Downwind,NA,NA,NA
1-2,Downwind,-0.48798645369468197,-1.6522234803143312,0.6762505729249674
2-3,Downwind,-0.36002031773382326,-0.6820671867212538,-0.03797344874639269
3-4,Downwind,0.18785682112924504,-0.1109488210733641,0.48666246333185414
4-5,Downwind,-0.13503147421845768,-0.5090585468698685,0.23899559843295315
5-6,Downwind,0.05407619325128849,-0.11868004672817223,0.2268324332307492
6-7,Downwind,0.04444919337532623,-0.1331024137777771,0.22200080052842958
7-8,Downwind,-0.05987918723337677,-0.1770606640280533,0.057302289561299756
8-9,Downwind,NA,NA,NA
9-10,Downwind,-0.27561705879137766,-0.37845322420001304,-0.17278089338274227
0-1,Lateral,NA,NA,NA
1-2,Lateral,0.16043696513934927,-0.21111579456658655,0.5319897248452851
2-3,Lateral,0.574518451773132,0.25967099487648065,0.8893659086697834
3-4,Lateral,-0.1811411258278982,-0.2827119373116155,-0.07957031434418091
4-5,Lateral,-0.005755954721047164,-0.10587450133045788,0.09436259188836356
5-6,Lateral,0.32620985730377733,0.24486279160035446,0.4075569230072002
6-7,Lateral,-0.19217640791927662,-0.26860505441728066,-0.11574776142127255
7-8,Lateral,-0.07162637640155833,-0.19117060682554626,0.04791785402242961
8-9,Lateral,0.14602514767676406,0.015206802228689753,0.27684349312483836
9-10,Lateral,0.17999815350365267,0.11376012238439698,0.24623618462290836
