distance,direction,point_est,ci_lower,ci_upper
0-1,Upwind,2.5482373288650466,1.0284740701807724,4.068000587549321
1-2,Upwind,-0.974443085875235,-1.4533269673735054,-0.4955592043769646
2-3,Upwind,-0.43591106855369444,-0.6966891920055085,-0.17513294510188038
3-4,Upwind,-0.0195859501256215,-0.17477581219630725,0.13560391194506424
4-5,Upwind,0.10139735098973619,-0.06328620364472197,0.26608090562419434
5-6,Upwind,0.1531312265829464,0.08350750859346662,0.22275494457242617
6-7,Upwind,-0.04043535823797014,-0.16188960313872833,0.08101888666278806
7-8,Upwind,-0.12093548809351223,-0.16524687983983086,-0.07662409634719361
8-9,Upwind,-0.16156837910055696,-0.28291332355269516,-0.04022343464841879
9-10,Upwind,-0.2611363407001725,-0.5318840431190024,0.00961136171865734
0-1,Downwind,1.6928258971794348,-0.8647014419947254,4.250353236353595
1-2,Downwind,-1.1017415354706186,-1.7796508524817898,-0.4238322184594473
2-3,Downwind,-1.0704363057324784,-1.2993853689659018,-0.8414872424990548
3-4,Downwind,0.5162834219044697,0.2747685257495892,0.7577983180593503
4-5,Downwind,0.147634025110403,-0.18842880789672775,0.4836968581175337
5-6,Downwind,0.07892141911855496,-0.06983617906445533,0.22767901730156526
6-7,Downwind,-0.22187388595787022,-0.39678033050991657,-0.046967441405823845
7-8,Downwind,-0.10052333628473656,-0.17282040537662174,-0.028226267192851373
8-9,Downwind,-0.2865919901793639,-0.4741119509052937,-0.09907202945343407
9-10,Downwind,0.06018081924317354,-0.342967378525514,0.4633290170118611
