distance,direction,point_est,ci_lower,ci_upper
0-1,Upwind,-0.009200593474803818,-0.021082027029937354,0.002680840080329717
1-2,Upwind,-0.006337553618751378,-0.007583483328278639,-0.005091623909224118
2-3,Upwind,-8.268920582710076e-4,-0.001688271427287898,3.448731074588284e-5
3-4,Upwind,7.578122891379595e-4,-0.001072375694250345,0.0025880002725262637
4-5,Upwind,-0.003585090304468926,-0.007453104134923635,2.829235259857823e-4
5-6,Upwind,-0.004545059224926953,-0.007188443670424113,-0.0019016747794297923
6-7,Upwind,8.12861384177754e-4,-0.0014445494561581783,0.0030702722245136865
7-8,Upwind,-4.269620942648533e-5,-1.048387485198509e-4,1.9446329666880244e-5
8-9,Upwind,NA,NA,NA
9-10,Upwind,-3.81819683939762e-4,-5.602254250741021e-4,-2.0341394280542187e-4
0-1,Downwind,-0.005697709425326546,-0.016940279102001295,0.005544860251348202
1-2,Downwind,-7.592636165337404e-5,-0.0015832614589962606,0.0014314087356895127
2-3,Downwind,-9.689443700213376e-4,-0.001720259852790459,-2.1762888725221634e-4
3-4,Downwind,0.0011801893308320095,-5.325828977989968e-4,0.0028929615594630157
4-5,Downwind,-0.010729236685889572,-0.014625245503543303,-0.0068332278682358425
5-6,Downwind,0.003653089778286657,0.0012139307273870744,0.006092248829186239
6-7,Downwind,-3.6235478088723905e-4,-0.002435629750745856,0.001710920188971378
7-8,Downwind,-3.1717843301646126e-5,-8.178199538554188e-5,1.8346308782249624e-5
8-9,Downwind,NA,NA,NA
9-10,Downwind,3.773107766360246e-4,1.9370122569676733e-4,5.609203275752819e-4
0-1,Lateral,6.131756635078797e-4,-0.010544356481314417,0.011770707808330175
1-2,Lateral,-0.003300994952310403,-0.004015424955832222,-0.0025865649487885846
2-3,Lateral,-0.0014083556953941605,-0.0019631990843976634,-8.535123063906575e-4
3-4,Lateral,0.003472028989643181,0.0021136279351194835,0.004830430044166879
4-5,Lateral,-0.0014066618888615777,-0.004950180665460366,0.00213685688773721
5-6,Lateral,-8.460526906627575e-4,-0.003284536889750484,0.0015924315084249693
6-7,Lateral,7.094108324212732e-4,-0.0013446638416496825,0.002763485506492229
7-8,Lateral,-7.62287371784608e-6,-7.324340274021702e-5,5.799765530452486e-5
8-9,Lateral,NA,NA,NA
9-10,Lateral,-3.309932954939454e-5,-1.8159925028559326e-4,1.154005911868042e-4
