distance,direction,point_est,ci_lower,ci_upper
0-1,Upwind,-0.016373218247314657,-0.025708266629550888,-0.007038169865078426
1-2,Upwind,-0.006603574801218252,-0.008180615601332021,-0.005026534001104485
2-3,Upwind,-6.36891757158614e-4,-0.0016297061717618065,3.5592265744457854e-4
3-4,Upwind,-0.0012705647180701802,-0.0032109112367031956,6.697818005628351e-4
4-5,Upwind,0.006195136994903517,0.0037426397471632396,0.008647634242643793
5-6,Upwind,-0.00599798937771813,-0.007670545076782694,-0.004325433678653566
6-7,Upwind,0.004634934167309441,0.0029667666633885086,0.0063031016712303736
7-8,Upwind,-8.608026014129421e-5,-148.43744723914133,148.43727507862107
8-9,Upwind,-1.6672738374179578e-4,-148.43752788614387,148.43719443137638
9-10,Upwind,-3.513666254579048e-4,-5.475108026734715e-4,-1.5522244824233813e-4
0-1,Downwind,-0.014183319618862607,-0.02173901520099364,-0.006627624036731573
1-2,Downwind,-3.631759906054686e-5,-0.0015759264192087,0.001503291221087606
2-3,Downwind,-2.1801782080060555e-4,-8.609770236844038e-4,4.2494138208319264e-4
3-4,Downwind,-0.0022604026236296543,-0.003643814627357689,-8.769906199016201e-4
4-5,Downwind,0.00348321077563846,0.001481434334291281,0.00548498721698564
5-6,Downwind,0.0024163764500886795,0.0012088957311927066,0.003623857168984652
6-7,Downwind,0.003737414973137345,0.0025636112289923497,0.0049112187172823405
7-8,Downwind,-1.0265869777355529e-4,-1.5068834222269225e-4,-5.462905332441834e-5
8-9,Downwind,NA,NA,NA
9-10,Downwind,0.00027385816447772103,9.583560112377153e-5,4.518807278316705e-4
0-1,Lateral,-0.00794269908438661,-0.015988801521930482,1.0340335315726229e-4
1-2,Lateral,-0.002779934030839763,-0.0034594887752391486,-0.0021003792864403774
2-3,Lateral,-9.323019132784242e-4,-0.0013407715350748609,-5.238322914819876e-4
3-4,Lateral,0.0010586506208060352,1.535349790841434e-4,0.001963766262527927
4-5,Lateral,0.0056575706729272935,0.0040668176001385885,0.007248323745715999
5-6,Lateral,-0.0018947621720517018,-0.003185368501328506,-6.041558427748975e-4
6-7,Lateral,0.0051933950257013455,0.004128718286893634,0.006258071764509057
7-8,Lateral,8.450222271649649e-5,-148.43727665650408,148.4374456609495
8-9,Lateral,-1.3873600843044578e-4,-148.4374998947411,148.43722242272423
9-10,Lateral,-8.553996174332522e-5,-2.2436623883579049e-4,5.328631534914006e-5
