distance,direction,point_est,ci_lower,ci_upper
0-1,Upwind,-0.12328695629869665,-0.17672531448689754,-0.06984859811049576
1-2,Upwind,-0.06391440250553107,-0.07716636218932955,-0.05066244282173258
2-3,Upwind,0.013485288905930636,0.0072068435715698514,0.01976373424029142
3-4,Upwind,-0.006746640648054701,-0.016090260342550775,0.0025969790464413734
4-5,Upwind,0.021616071481589248,0.013261061511768164,0.029971081451410333
0-1,Downwind,-0.06434788366434095,-0.09885870664864267,-0.029837060680039232
1-2,Downwind,0.04650257983963978,0.032101486888877616,0.06090367279040194
2-3,Downwind,0.01175496217383712,0.006394142885232998,0.01711578146244124
3-4,Downwind,-0.042620369684053694,-0.05168117048225266,-0.03355956888585473
4-5,Downwind,0.027397909511716403,0.020033744295135273,0.03476207472829754
