distance,direction,point_est,ci_lower,ci_upper
0-1,Upwind,0.6534801238487031,0.38730423725843965,0.9196560104389666
1-2,Upwind,0.0782873705287142,0.016731908262652535,0.13984283279477588
2-3,Upwind,0.004208639104836844,-0.02825734006249862,0.036674618272172305
3-4,Upwind,-0.01974647641556028,-0.08323954710256037,0.043746594271439815
4-5,Upwind,0.13184545041191978,0.06030664727721388,0.20338425354662568
5-6,Upwind,-0.15402610497552466,-0.20817754523986992,-0.0998746647111794
6-7,Upwind,-0.04196518238565451,-0.09398380325185371,0.010053438480544685
7-8,Upwind,-0.0011422298814731417,-0.009332031588911577,0.007047571825965294
8-9,Upwind,-0.0031959847852985257,-0.006736483767300962,3.445141967039103e-4
9-10,Upwind,-0.01018497735405785,-0.016744569361134207,-0.0036253853469814957
0-1,Downwind,0.011094397110760669,-0.20096128607359434,0.22315008029511565
1-2,Downwind,0.15511774899047662,0.1011123963014002,0.20912310167955303
2-3,Downwind,0.032657022894309475,0.011680965081187284,0.05363308070743167
3-4,Downwind,-0.002560439515729351,-0.047447581253952396,0.04232670222249369
4-5,Downwind,-0.10354511280948879,-0.16158110141441437,-0.045509124204563205
5-6,Downwind,0.10261560678964593,0.06383471903913153,0.14139649454016034
6-7,Downwind,-0.05414867724023288,-0.09042474973904477,-0.017872604741420987
7-8,Downwind,0.0012410666833201876,-3.612034963749143e-4,0.0028433368630152896
8-9,Downwind,NA,NA,NA
9-10,Downwind,0.011270044442500958,0.005331269309113672,0.017208819575888244
0-1,Lateral,0.2550006784035215,0.045441495548116634,0.46455986125892634
1-2,Lateral,0.051706203589792964,0.025113219479018383,0.07829918770056754
2-3,Lateral,-0.020938682202135846,-0.03439886797172464,-0.007478496432547055
3-4,Lateral,0.08372404646140658,0.05396799869287845,0.1134800942299347
4-5,Lateral,-0.01815517190678769,-0.06553710102130278,0.029226757207727404
5-6,Lateral,-0.0738610927187193,-0.11505537518981135,-0.032666810247627236
6-7,Lateral,0.01805822180379653,-0.015198885402627947,0.051315329010221004
7-8,Lateral,-8.602572156409575e-4,-0.0029150479292669603,0.0011945334979850454
8-9,Lateral,NA,NA,NA
9-10,Lateral,0.004363693408242572,-2.954412354157438e-4,0.009022828051900886
