distance,direction,point_est,ci_lower,ci_upper
0-1,Upwind,-8.96582546554758e-5,-2.1442289940789682e-4,3.5106390096945224e-5
1-2,Upwind,1.0912551716777524e-4,8.218897155283179e-5,1.360620627827187e-4
2-3,Upwind,3.5844759450079274e-6,-1.3279336769864155e-5,2.044828865988001e-5
3-4,Upwind,1.8098061880030493e-6,-1.8002685389389315e-5,2.1622297765395414e-5
4-5,Upwind,-2.7859567814906393e-5,-5.4474638440754074e-5,-1.2444971890587125e-6
5-6,Upwind,-7.507048939473323e-5,-1.0423872112790237e-4,-4.590225766156409e-5
6-7,Upwind,9.26482618370397e-6,-2.326034452294231e-5,4.1789996890350246e-5
7-8,Upwind,-3.411781323974894e-6,-5.488912105096865e-6,-1.3346505428529233e-6
8-9,Upwind,NA,NA,NA
9-10,Upwind,5.630209744315079e-6,-5.2150884351476564e-8,1.1312570372981635e-5
0-1,Downwind,-8.931725127118764e-5,-1.9328861888526702e-4,1.465411634289174e-5
1-2,Downwind,-6.132213704783903e-5,-8.892385443524752e-5,-3.372041966043053e-5
2-3,Downwind,-4.03325959587104e-5,-5.493541706218639e-5,-2.572977485523441e-5
3-4,Downwind,7.282792279156801e-5,5.138540120610357e-5,9.427044437703246e-5
4-5,Downwind,-4.202248117549099e-5,-6.758722313846517e-5,-1.6457739212516816e-5
5-6,Downwind,-1.1858913376494454e-5,-3.844534606741525e-5,1.4727519314426344e-5
6-7,Downwind,-4.0929159237126036e-5,-7.102578957293972e-5,-1.0832528901312348e-5
7-8,Downwind,5.917770524696594e-6,4.299263095360352e-6,7.536277954032836e-6
8-9,Downwind,NA,NA,NA
9-10,Downwind,6.265810628365058e-6,3.5547020191050963e-7,1.2176151054819606e-5
0-1,Lateral,-1.282148294662368e-4,-2.1799682705887904e-4,-3.843283187359457e-5
1-2,Lateral,2.1050728285096126e-5,2.5466923952856095e-6,3.955476417490664e-5
2-3,Lateral,-1.401733643967596e-5,-2.26803922449878e-5,-5.354280634364124e-6
3-4,Lateral,6.264483659535636e-5,4.5891976472256696e-5,7.939769671845603e-5
4-5,Lateral,-5.503839403608498e-5,-7.73050587816588e-5,-3.277172929051117e-5
5-6,Lateral,-5.134008386001201e-5,-7.768635886118875e-5,-2.4993808858835284e-5
6-7,Lateral,-8.558314189671115e-7,-2.7475262702993352e-5,2.576359986505913e-5
7-8,Lateral,9.932246459296422e-7,-1.2072705428077862e-6,3.193719834667071e-6
8-9,Lateral,NA,NA,NA
9-10,Lateral,9.262794416803493e-6,4.633873065211691e-6,1.3891715768395295e-5
