distance,direction,point_est,ci_lower,ci_upper
0-1,Upwind,-3.8742505549404513e-5,-1.862785777213376e-4,1.0879356662252859e-4
1-2,Upwind,1.2622581579219402e-4,9.440637450049037e-5,1.5804525708389768e-4
2-3,Upwind,3.2415534649185774e-6,-1.7914774973301906e-5,2.439788190313906e-5
3-4,Upwind,-9.64353598126304e-6,-3.1826215677576726e-5,1.2539143715050646e-5
4-5,Upwind,-1.748167375988193e-5,-4.7379462445380093e-5,1.2416114925616232e-5
5-6,Upwind,-5.1698587454544454e-5,-8.49605003071534e-5,-1.8436674601935502e-5
6-7,Upwind,3.928701895441536e-6,-3.3765772764438607e-5,4.162317655532168e-5
7-8,Upwind,-1.182801112724625e-5,-4.045545729449779,4.0455220734275255
8-9,Upwind,9.095864367882682e-7,-4.045532991844234,4.045534811017107
9-10,Upwind,7.051300734964518e-6,5.069894128470377e-7,1.3595612057082e-5
0-1,Downwind,-1.0865337536200662e-4,-2.1237894876120357e-4,-4.927801962809666e-6
1-2,Downwind,-5.679752596949115e-5,-8.417637798768502e-5,-2.941867395129729e-5
2-3,Downwind,-4.0399840282969884e-5,-5.5004037548489346e-5,-2.5795643017450422e-5
3-4,Downwind,7.141093660563948e-5,4.997236496166534e-5,9.284950824961361e-5
4-5,Downwind,-3.5601652001493946e-5,-6.120198510115963e-5,-1.0001318901828255e-5
5-6,Downwind,-1.848745699606321e-5,-4.479948818114019e-5,7.824574189013771e-6
6-7,Downwind,-4.172571448688258e-5,-7.173781577123689e-5,-1.1713613202528262e-5
7-8,Downwind,5.804472230862164e-6,4.185779674523739e-6,7.423164787200589e-6
8-9,Downwind,NA,NA,NA
9-10,Downwind,5.545610450559298e-6,-3.8148757890062145e-7,1.1472708480019217e-5
0-1,Lateral,-1.2741877944844347e-4,-2.1593326102236368e-4,-3.8904297874523244e-5
1-2,Lateral,2.6261822161003985e-5,7.903142238213485e-6,4.4620502083794486e-5
2-3,Lateral,-1.3247091185154393e-5,-2.183989658747375e-5,-4.654285782835037e-6
3-4,Lateral,5.9145778036273534e-5,4.25604487705674e-5,7.573110730197966e-5
4-5,Lateral,-5.247903964712423e-5,-7.444892236338492e-5,-3.0509156930863546e-5
5-6,Lateral,-7.226101123264034e-5,-9.746445896426941e-5,-4.705756350101127e-5
6-7,Lateral,6.098573747505848e-6,-2.0114506954090826e-5,3.2311654449102525e-5
7-8,Lateral,-1.6645021765885898e-6,-4.045535565930273,4.0455322369259195
8-9,Lateral,1.7208424536384344e-6,-4.0455321805853295,4.045535622270236
9-10,Lateral,8.518397020563329e-6,3.9807349822858295e-6,1.3056059058840827e-5
