distance,direction,point_est,ci_lower,ci_upper
0-1,Upwind,1.933245912261632,1.0829540523279357,2.783537772195328
1-2,Upwind,-0.19599582135473023,-0.33788578965846816,-0.05410585305099233
2-3,Upwind,-0.005629739323644056,-0.02843178860138794,0.01717230995409983
3-4,Upwind,-0.03672957249382261,-0.06862272932599474,-0.004836415661650481
4-5,Upwind,-0.05258015786304783,-0.07951630730165582,-0.025644008424439844
5-6,Upwind,0.012807235290359816,-0.011963514279178512,0.03757798485989815
6-7,Upwind,0.03875544167629181,0.023743202840257077,0.05376768051232654
7-8,Upwind,0.0038122602930161357,0.0017373190726447602,0.005887201513387511
8-9,Upwind,NA,NA,NA
9-10,Upwind,0.0010717267415030593,-0.0045383835907932425,0.00668183707379936
0-1,Downwind,1.233598142889983,0.3340483941861897,2.1331478915937763
1-2,Downwind,-0.17074177328186813,-0.3000927650369756,-0.041390781526760706
2-3,Downwind,0.0051815918103735314,-0.02016193635065704,0.030525119971404103
3-4,Downwind,0.004663955607610023,-0.031998034658092415,0.04132594587331246
4-5,Downwind,-0.002251010836932705,-0.029010625553334547,0.024508603879469137
5-6,Downwind,-0.060353802245144784,-0.08818401350999129,-0.03252359098029828
6-7,Downwind,0.06533244555752388,0.05122799136342807,0.07943689975161967
7-8,Downwind,-0.0019410235153811553,-0.0034100055666963563,-4.720414640659546e-4
8-9,Downwind,NA,NA,NA
9-10,Downwind,0.00819882587316363,0.00265341534157684,0.01374423640475042
0-1,Lateral,2.018314085112355,1.2426940679095066,2.7939341023152036
1-2,Lateral,-0.15569774704086825,-0.27662067724599737,-0.03477481683573912
2-3,Lateral,-0.005430644811076098,-0.01601139952668853,0.005150109904536332
3-4,Lateral,-0.011349951846689074,-0.04068686515177958,0.017986961458401427
4-5,Lateral,-0.03069777080643612,-0.05354266583363024,-0.007852875779242003
5-6,Lateral,-0.00977647969306869,-0.030351339385864498,0.010798379999727117
6-7,Lateral,0.03798687064043033,0.028804825274793194,0.04716891600606747
7-8,Lateral,-6.47651235432941e-4,-0.0027056644431287385,0.0014103619722628568
8-9,Lateral,NA,NA,NA
9-10,Lateral,-0.005437298721983791,-0.009666906911892915,-0.0012076905320746656
