distance,direction,point_est,ci_lower,ci_upper
0-1,Upwind,1.0832841171026295,-0.007588102106077077,2.174156336311336
1-2,Upwind,-0.20332172430290607,-0.3620849893117301,-0.04455845929408203
2-3,Upwind,-0.002385940826418755,-0.03277036815024982,0.02799848649741231
3-4,Upwind,-0.00897423469088015,-0.04182476864706217,0.023876299265301874
4-5,Upwind,-0.029850838218304577,-0.05842271194416439,-0.0012789644924447625
5-6,Upwind,-0.012312553456009739,-0.03769685522706941,0.013071748315049937
6-7,Upwind,0.03788042471895371,0.022509919030433773,0.053250930407473654
7-8,Upwind,NA,NA,NA
8-9,Upwind,0.018621775412452867,0.011674364591308183,0.02556918623359755
9-10,Upwind,-7.078942837048361e-4,-0.0075296191634961285,0.006113830596086456
0-1,Downwind,1.5207903638525366,0.6237474852750199,2.4178332424300533
1-2,Downwind,-0.2028575669077296,-0.33061034044545345,-0.07510479337000575
2-3,Downwind,0.005396859678330795,-0.019931024003067045,0.030724743359728635
3-4,Downwind,0.009811148877205597,-0.027281636397455705,0.0469039341518669
4-5,Downwind,-0.0013727820690714024,-0.027474647830776924,0.024729083692634123
5-6,Downwind,-0.056745929153275795,-0.0842924958120221,-0.029199362494529493
6-7,Downwind,0.0632770482945128,0.049305175942140324,0.0772489206468853
7-8,Downwind,-0.002038730116950295,-0.0035083376497654127,-5.691225841351769e-4
8-9,Downwind,NA,NA,NA
9-10,Downwind,0.008603705875823653,0.003040157272251498,0.014167254479395808
0-1,Lateral,2.055140611451582,1.2964401274730442,2.81384109543012
1-2,Lateral,-0.15872753638797685,-0.2794340364289458,-0.03802103634700786
2-3,Lateral,-0.006335331794414723,-0.016881152624530483,0.004210489035701037
3-4,Lateral,-0.009860612342755766,-0.03927359114830992,0.01955236646279839
4-5,Lateral,-0.030508634514478314,-0.0527106778566222,-0.008306591172334427
5-6,Lateral,-0.0017550644903372241,-0.02220852868569462,0.018698399705020175
6-7,Lateral,0.034276406019581596,0.025159956673487673,0.04339285536567552
7-8,Lateral,-0.019064800120748394,-0.02793905243224718,-0.010190547809249604
8-9,Lateral,0.01897364828447244,0.00987358049299599,0.02807371607594889
9-10,Lateral,-0.003989384414641879,-0.008123516751249053,1.447479219652938e-4
