distance,direction,point_est,ci_lower,ci_upper
0-1,Upwind,1.7415974292717602,1.0282820868848588,2.4549127716586616
1-2,Upwind,-0.19922767591732493,-0.31850456605832156,-0.0799507857763283
2-3,Upwind,2.940617805377755e-4,-0.018548995371907143,0.019137118932982693
3-4,Upwind,-0.035857872399447696,-0.0625119910751385,-0.00920375372375689
4-5,Upwind,-0.05453400631026586,-0.0771560677047344,-0.03191194491579732
5-6,Upwind,0.011466533669270725,-0.009470545539252107,0.03240361287779356
6-7,Upwind,0.03876611590002649,0.02608966869726967,0.051442563102783306
7-8,Upwind,0.003786383867946119,0.0020711902062542434,0.005501577529637995
8-9,Upwind,NA,NA,NA
9-10,Upwind,0.0019070049284785964,-0.0027526246865675705,0.006566634543524763
0-1,Downwind,1.11637434819177,0.35969592246420923,1.8730527739193308
1-2,Downwind,-0.1726355331100185,-0.28143083499338606,-0.06384023122665096
2-3,Downwind,0.020526213513216703,-0.0012971713894418813,0.04234959841587529
3-4,Downwind,0.009757707879821173,-0.02102463143270024,0.04054004719234259
4-5,Downwind,-0.0036648639189141097,-0.026053177594300495,0.018723449756472277
5-6,Downwind,-0.06418085913296002,-0.08762837989973854,-0.0407333383661815
6-7,Downwind,0.06542814701056787,0.053551760457617434,0.07730453356351831
7-8,Downwind,-0.001973823404868799,-0.003184627050135105,-7.630197596024929e-4
8-9,Downwind,NA,NA,NA
9-10,Downwind,0.007913107819519287,0.0033054671748606722,0.012520748464177901
0-1,Lateral,1.8040943036549142,1.149832258328916,2.4583563489809124
1-2,Lateral,-0.17061151054131865,-0.2723233203116161,-0.06889970077102119
2-3,Lateral,-0.002907370532016372,-0.011715081102675485,0.00590034003864274
3-4,Lateral,-0.004643164488018587,-0.0291853993436652,0.019899070367628023
4-5,Lateral,-0.03087015090178876,-0.05000436425463195,-0.011735937548945571
5-6,Lateral,-0.01458560447545356,-0.03202921505744732,0.0028580061065401965
6-7,Lateral,0.03711566278573483,0.029308039406197344,0.044923286165272316
7-8,Lateral,-5.394422658974984e-4,-0.0022373640603902674,0.0011584795285952709
8-9,Lateral,NA,NA,NA
9-10,Lateral,-0.004658485067431477,-0.008179288769049104,-0.001137681365813849
