distance,direction,point_est,ci_lower,ci_upper
0-1,Upwind,0.12767008086901016,0.0699235924491178,0.18541656928890252
1-2,Upwind,-0.016513540447191867,-0.023616586714734204,-0.009410494179649528
2-3,Upwind,0.0020884187128872257,-9.299904960575257e-4,0.005106827921831977
3-4,Upwind,-0.013650349092354647,-0.016562512656840438,-0.010738185527868855
4-5,Upwind,-6.756154815170861e-4,-0.002355945199731822,0.00100471423669765
0-1,Downwind,0.23804437130054423,0.17227515760598527,0.3038135849951032
1-2,Downwind,-0.0030263746533479123,-0.011746375423374197,0.005693626116678372
2-3,Downwind,0.0022366431911626547,-2.5001528859766803e-4,0.004723301670922978
3-4,Downwind,-0.0034525686226054824,-0.0073745856983209864,4.6944845311002164e-4
4-5,Downwind,-9.388109107060973e-4,-0.0020605720747948857,1.8295025338269078e-4
