distance,direction,point_est,ci_lower,ci_upper
0-1,Upwind,0.040049541454974975,0.00907545322036335,0.0710236296895866
1-2,Upwind,-0.004466947248463735,-0.007247116341615826,-0.0016867781553116428
2-3,Upwind,0.0010322784056635442,-3.840156705443992e-4,0.0024485724818714876
3-4,Upwind,-2.2951041601735814e-4,-0.0013904199216959927,9.313990896612763e-4
4-5,Upwind,0.0017599683918191511,9.552544858921648e-4,0.002564682297746137
5-6,Upwind,0.0012816774964593298,1.3752947073886277e-4,0.0024258255221797967
6-7,Upwind,-8.450791348470228e-4,-0.0017261884304859147,3.603016079186923e-5
7-8,Upwind,-7.811365258258072e-5,-1.6920596700914216e-4,1.29786618439807e-5
8-9,Upwind,NA,NA,NA
9-10,Upwind,1.983885879201035e-4,-2.1436699269362304e-4,6.1114416853383e-4
0-1,Downwind,0.001192915269769108,-0.034350120252299075,0.03673595079183729
1-2,Downwind,8.426099593686817e-4,-0.003959951329349088,0.005645171248086452
2-3,Downwind,-0.002765012137838891,-0.005010651131403879,-5.193731442739036e-4
3-4,Downwind,6.896155961423709e-4,-6.821922585803334e-4,0.002061423450865075
4-5,Downwind,0.00412607846267167,0.002889836267455109,0.005362320657888231
5-6,Downwind,-0.0037241244143667133,-0.0051889719865493,-0.0022592768421841264
6-7,Downwind,0.0026847443418265187,0.00166865569439631,0.003700832989256727
7-8,Downwind,-1.5836851891252914e-4,-2.3784234786512065e-4,-7.889468995993763e-5
8-9,Downwind,NA,NA,NA
9-10,Downwind,2.181639654624691e-4,-9.262781642116084e-5,5.289557473460991e-4
0-1,Lateral,0.015432953055486682,-0.002238546408103991,0.03310445251907736
1-2,Lateral,-3.719555746111314e-4,-0.0012174013491608317,4.734901999385689e-4
2-3,Lateral,-0.0018607337603209855,-0.0027760743410867156,-9.453931795552553e-4
3-4,Lateral,4.7262248136655465e-4,-2.518201218769291e-4,0.0011970650846100384
4-5,Lateral,9.276605943090132e-4,6.173552044032585e-4,0.001237965984214768
5-6,Lateral,0.0010285429131135974,5.83707393872188e-4,0.0014733784323550068
6-7,Lateral,-5.553835169406541e-4,-8.756615590432775e-4,-2.3510547483803076e-4
7-8,Lateral,1.342045400324454e-5,-8.659971162591435e-5,1.1344061963240342e-4
8-9,Lateral,NA,NA,NA
9-10,Lateral,-3.5921706117309046e-4,-5.962662407078521e-4,-1.2216788163832884e-4
